GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FlashCards_Service,org.robbins.flashcards.service.util.dozer,DateTimeConverter,27,0,6,0,8,0,5,0,2,0
FlashCards_Service,org.robbins.flashcards.service.util.dozer,HibernateFieldMapper,18,0,4,0,7,0,4,0,2,0
FlashCards_Service,org.robbins.flashcards.auditing,AuditingAwareUser,31,0,0,0,5,0,3,0,3,0
FlashCards_Service,org.robbins.flashcards.facade.base,AbstractCrudFacadeImpl,206,6,24,0,43,2,22,2,10,2
FlashCards_Service,org.robbins.flashcards.aop,ExecutionTimeLogger,95,0,4,0,22,0,5,0,3,0
FlashCards_Service,org.robbins.flashcards.service.util,DtoUtil,94,0,10,0,22,0,9,0,4,0
FlashCards_Service,org.robbins.flashcards.service.util,FieldInitializerUtil,113,0,16,0,30,0,15,0,7,0
FlashCards_Service,org.robbins.flashcards.exceptions,ServiceException,9,0,0,0,4,0,2,0,2,0
FlashCards_Service,org.robbins.flashcards.facade.impl,DefaultFlashcardFacade,208,0,12,0,41,0,21,0,15,0
FlashCards_Service,org.robbins.flashcards.facade.impl,DefaultTagFacade,76,19,5,1,17,5,9,2,6,2
FlashCards_Service,org.robbins.flashcards.facade.impl,DefaultUserFacade,124,0,6,0,28,0,12,0,9,0
