GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FlashCards_WebServices,org.robbins.flashcards.jersey.filters,SecurityFilter,14,0,0,0,5,0,3,0,3,0
FlashCards_WebServices,org.robbins.flashcards.jersey.filters,AcceptFilter,51,0,6,0,12,0,6,0,3,0
FlashCards_WebServices,org.robbins.flashcards.webservices,TagsResource,20,42,2,2,3,12,2,4,0,4
FlashCards_WebServices,org.robbins.flashcards.webservices,UsersResource,0,11,0,0,0,3,0,3,0,3
FlashCards_WebServices,org.robbins.flashcards.webservices,FlashCardsResource,14,149,1,11,4,27,1,11,0,6
FlashCards_WebServices,org.robbins.flashcards.cxf.filters,PartialResponseFilter,9,205,3,21,4,49,3,15,0,6
FlashCards_WebServices,org.robbins.flashcards.cxf.filters,SecurityFilter,0,14,0,0,0,5,0,3,0,3
FlashCards_WebServices,org.robbins.flashcards.webservices.exceptions,GenericWebServiceException,6,47,0,0,3,12,1,5,1,5
FlashCards_WebServices,org.robbins.flashcards.webservices.exceptions,WebServicesError,0,36,0,0,0,15,0,8,0,8
FlashCards_WebServices,org.robbins.flashcards.webservices.base,AbstractSecurityFilter,4,52,2,2,2,13,2,4,0,4
FlashCards_WebServices,org.robbins.flashcards.webservices.base,AbstractGenericResource,103,181,4,10,23,38,4,13,0,10
FlashCards_WebServices,org.robbins.flashcards.webservices.base,AbstractResource,101,8,13,1,18,3,9,2,2,2
FlashCards_WebServices,org.robbins.flashcards.providers,DefaultExceptionHandler,0,33,0,2,0,7,0,3,0,2
FlashCards_WebServices,org.robbins.flashcards.jackson,CustomObjectMapper,0,42,0,0,0,12,0,2,0,2
